"x","y","node_label","node"
-35.51,11,341,"(7, 41)"
-36.37,10.5,342,"(7, 42)"
-37.24,11,343,"(7, 43)"
-38.11,10.5,344,"(7, 44)"
-38.97,11,345,"(7, 45)"
0,12.5,346,"(8, 0)"
-0.87,12,347,"(8, 1)"
-1.73,12.5,348,"(8, 2)"
-2.6,12,349,"(8, 3)"
-3.46,12.5,350,"(8, 4)"
-4.33,12,351,"(8, 5)"
-5.2,12.5,352,"(8, 6)"
-6.06,12,353,"(8, 7)"
-6.93,12.5,354,"(8, 8)"
-7.79,12,355,"(8, 9)"
-8.66,12.5,356,"(8, 10)"
-9.53,12,357,"(8, 11)"
-10.39,12.5,358,"(8, 12)"
-11.26,12,359,"(8, 13)"
-12.12,12.5,360,"(8, 14)"
-12.99,12,361,"(8, 15)"
-13.86,12.5,362,"(8, 16)"
-14.72,12,363,"(8, 17)"
-15.59,12.5,364,"(8, 18)"
-16.45,12,365,"(8, 19)"
-17.32,12.5,366,"(8, 20)"
-18.19,12,367,"(8, 21)"
-19.05,12.5,368,"(8, 22)"
-19.92,12,369,"(8, 23)"
-20.78,12.5,370,"(8, 24)"
-21.65,12,371,"(8, 25)"
-22.52,12.5,372,"(8, 26)"
-23.38,12,373,"(8, 27)"
-24.25,12.5,374,"(8, 28)"
-25.11,12,375,"(8, 29)"
-25.98,12.5,376,"(8, 30)"
-26.85,12,377,"(8, 31)"
-27.71,12.5,378,"(8, 32)"
-28.58,12,379,"(8, 33)"
-29.44,12.5,380,"(8, 34)"
-30.31,12,381,"(8, 35)"
-31.18,12.5,382,"(8, 36)"
-32.04,12,383,"(8, 37)"
-32.91,12.5,384,"(8, 38)"
-33.77,12,385,"(8, 39)"
-34.64,12.5,386,"(8, 40)"
-35.51,12,387,"(8, 41)"
-36.37,12.5,388,"(8, 42)"
-37.24,12,389,"(8, 43)"
-38.11,12.5,390,"(8, 44)"
-38.97,12,391,"(8, 45)"
0,13.5,392,"(9, 0)"
-0.87,14,393,"(9, 1)"
-1.73,13.5,394,"(9, 2)"
-2.6,14,395,"(9, 3)"
-3.46,13.5,396,"(9, 4)"
-4.33,14,397,"(9, 5)"
-5.2,13.5,398,"(9, 6)"
-6.06,14,399,"(9, 7)"
-6.93,13.5,400,"(9, 8)"
-7.79,14,401,"(9, 9)"
-8.66,13.5,402,"(9, 10)"
-9.53,14,403,"(9, 11)"
-10.39,13.5,404,"(9, 12)"
-11.26,14,405,"(9, 13)"
-12.12,13.5,406,"(9, 14)"
-12.99,14,407,"(9, 15)"
-13.86,13.5,408,"(9, 16)"
-14.72,14,409,"(9, 17)"
-15.59,13.5,410,"(9, 18)"
-16.45,14,411,"(9, 19)"
-17.32,13.5,412,"(9, 20)"
-18.19,14,413,"(9, 21)"
-19.05,13.5,414,"(9, 22)"
-19.92,14,415,"(9, 23)"
-20.78,13.5,416,"(9, 24)"
-21.65,14,417,"(9, 25)"
-22.52,13.5,418,"(9, 26)"
-23.38,14,419,"(9, 27)"
-24.25,13.5,420,"(9, 28)"
-25.11,14,421,"(9, 29)"
-25.98,13.5,422,"(9, 30)"
-26.85,14,423,"(9, 31)"
-27.71,13.5,424,"(9, 32)"
-28.58,14,425,"(9, 33)"
-29.44,13.5,426,"(9, 34)"
-30.31,14,427,"(9, 35)"
-31.18,13.5,428,"(9, 36)"
-32.04,14,429,"(9, 37)"
-32.91,13.5,430,"(9, 38)"
-33.77,14,431,"(9, 39)"
-34.64,13.5,432,"(9, 40)"
-35.51,14,433,"(9, 41)"
-36.37,13.5,434,"(9, 42)"
-37.24,14,435,"(9, 43)"
-38.11,13.5,436,"(9, 44)"
-38.97,14,437,"(9, 45)"
0,15.5,438,"(10, 0)"
-0.87,15,439,"(10, 1)"
-1.73,15.5,440,"(10, 2)"
-2.6,15,441,"(10, 3)"
-3.46,15.5,442,"(10, 4)"
-4.33,15,443,"(10, 5)"
-5.2,15.5,444,"(10, 6)"
-6.06,15,445,"(10, 7)"
-6.93,15.5,446,"(10, 8)"
-7.79,15,447,"(10, 9)"
-8.66,15.5,448,"(10, 10)"
-9.53,15,449,"(10, 11)"
-10.39,15.5,450,"(10, 12)"
-11.26,15,451,"(10, 13)"
-12.12,15.5,452,"(10, 14)"
-12.99,15,453,"(10, 15)"
-13.86,15.5,454,"(10, 16)"
-14.72,15,455,"(10, 17)"
-15.59,15.5,456,"(10, 18)"
-16.45,15,457,"(10, 19)"
-17.32,15.5,458,"(10, 20)"
-18.19,15,459,"(10, 21)"
-19.05,15.5,460,"(10, 22)"
-19.92,15,461,"(10, 23)"
-20.78,15.5,462,"(10, 24)"
-21.65,15,463,"(10, 25)"
-22.52,15.5,464,"(10, 26)"
-23.38,15,465,"(10, 27)"
-24.25,15.5,466,"(10, 28)"
-25.11,15,467,"(10, 29)"
-25.98,15.5,468,"(10, 30)"
-26.85,15,469,"(10, 31)"
-27.71,15.5,470,"(10, 32)"
-28.58,15,471,"(10, 33)"
-29.44,15.5,472,"(10, 34)"
-30.31,15,473,"(10, 35)"
-31.18,15.5,474,"(10, 36)"
-32.04,15,475,"(10, 37)"
-32.91,15.5,476,"(10, 38)"
-33.77,15,477,"(10, 39)"
-34.64,15.5,478,"(10, 40)"
-35.51,15,479,"(10, 41)"
-36.37,15.5,480,"(10, 42)"
-37.24,15,481,"(10, 43)"
-38.11,15.5,482,"(10, 44)"
-38.97,15,483,"(10, 45)"
0,16.5,484,"(11, 0)"
-0.87,17,485,"(11, 1)"
-1.73,16.5,486,"(11, 2)"
-2.6,17,487,"(11, 3)"
-3.46,16.5,488,"(11, 4)"
-4.33,17,489,"(11, 5)"
-5.2,16.5,490,"(11, 6)"
-6.06,17,491,"(11, 7)"
-6.93,16.5,492,"(11, 8)"
-7.79,17,493,"(11, 9)"
-8.66,16.5,494,"(11, 10)"
-9.53,17,495,"(11, 11)"
-10.39,16.5,496,"(11, 12)"
-11.26,17,497,"(11, 13)"
-12.12,16.5,498,"(11, 14)"
-12.99,17,499,"(11, 15)"
-13.86,16.5,500,"(11, 16)"
-14.72,17,501,"(11, 17)"
-15.59,16.5,502,"(11, 18)"
-16.45,17,503,"(11, 19)"
-17.32,16.5,504,"(11, 20)"
-18.19,17,505,"(11, 21)"
-19.05,16.5,506,"(11, 22)"
-19.92,17,507,"(11, 23)"
-20.78,16.5,508,"(11, 24)"
-21.65,17,509,"(11, 25)"
-22.52,16.5,510,"(11, 26)"
-23.38,17,511,"(11, 27)"
-24.25,16.5,512,"(11, 28)"
-25.11,17,513,"(11, 29)"
-25.98,16.5,514,"(11, 30)"
-26.85,17,515,"(11, 31)"
-27.71,16.5,516,"(11, 32)"
-28.58,17,517,"(11, 33)"
-29.44,16.5,518,"(11, 34)"
-30.31,17,519,"(11, 35)"
-31.18,16.5,520,"(11, 36)"
-32.04,17,521,"(11, 37)"
-32.91,16.5,522,"(11, 38)"
-33.77,17,523,"(11, 39)"
-34.64,16.5,524,"(11, 40)"
-35.51,17,525,"(11, 41)"
-36.37,16.5,526,"(11, 42)"
-37.24,17,527,"(11, 43)"
-38.11,16.5,528,"(11, 44)"
-38.97,17,529,"(11, 45)"
0,18.5,530,"(12, 0)"
-0.87,18,531,"(12, 1)"
-1.73,18.5,532,"(12, 2)"
-2.6,18,533,"(12, 3)"
-3.46,18.5,534,"(12, 4)"
-4.33,18,535,"(12, 5)"
-5.2,18.5,536,"(12, 6)"
-6.06,18,537,"(12, 7)"
-6.93,18.5,538,"(12, 8)"
-7.79,18,539,"(12, 9)"
-8.66,18.5,540,"(12, 10)"
-9.53,18,541,"(12, 11)"
-10.39,18.5,542,"(12, 12)"
-11.26,18,543,"(12, 13)"
-12.12,18.5,544,"(12, 14)"
-12.99,18,545,"(12, 15)"
-13.86,18.5,546,"(12, 16)"
-14.72,18,547,"(12, 17)"
-15.59,18.5,548,"(12, 18)"
-16.45,18,549,"(12, 19)"
-17.32,18.5,550,"(12, 20)"
-18.19,18,551,"(12, 21)"
-19.05,18.5,552,"(12, 22)"
-19.92,18,553,"(12, 23)"
-20.78,18.5,554,"(12, 24)"
-21.65,18,555,"(12, 25)"
-22.52,18.5,556,"(12, 26)"
-23.38,18,557,"(12, 27)"
-24.25,18.5,558,"(12, 28)"
-25.11,18,559,"(12, 29)"
-25.98,18.5,560,"(12, 30)"
-26.85,18,561,"(12, 31)"
-27.71,18.5,562,"(12, 32)"
-28.58,18,563,"(12, 33)"
-29.44,18.5,564,"(12, 34)"
-30.31,18,565,"(12, 35)"
-31.18,18.5,566,"(12, 36)"
-32.04,18,567,"(12, 37)"
-32.91,18.5,568,"(12, 38)"
-33.77,18,569,"(12, 39)"
-34.64,18.5,570,"(12, 40)"
-35.51,18,571,"(12, 41)"
-36.37,18.5,572,"(12, 42)"
-37.24,18,573,"(12, 43)"
-38.11,18.5,574,"(12, 44)"
-38.97,18,575,"(12, 45)"
0,19.5,576,"(13, 0)"
-0.87,20,577,"(13, 1)"
-1.73,19.5,578,"(13, 2)"
-2.6,20,579,"(13, 3)"
