"x","y"
"941",1496.31,1740
"942",1496.31,1840
"943",1496.31,1890
"944",1496.31,1990
"945",1539.62,15
"946",1539.62,115
"947",1539.62,165
"948",1539.62,265
"949",1539.62,315
"950",1539.62,415
"951",1539.62,465
"952",1539.62,565
"953",1539.62,615
"954",1539.62,715
"955",1539.62,765
"956",1539.62,865
"957",1539.62,915
"958",1539.62,1015
"959",1539.62,1065
"960",1539.62,1165
"961",1539.62,1215
"962",1539.62,1315
"963",1539.62,1365
"964",1539.62,1465
"965",1539.62,1515
"966",1539.62,1615
"967",1539.62,1665
"968",1539.62,1765
"969",1539.62,1815
"970",1539.62,1915
"971",1539.62,1965
"972",1582.92,40
"973",1582.92,90
"974",1582.92,190
"975",1582.92,240
"976",1582.92,340
"977",1582.92,390
"978",1582.92,490
"979",1582.92,540
"980",1582.92,640
"981",1582.92,690
"982",1582.92,790
"983",1582.92,840
"984",1582.92,940
"985",1582.92,990
"986",1582.92,1090
"987",1582.92,1140
"988",1582.92,1240
"989",1582.92,1290
"990",1582.92,1390
"991",1582.92,1440
"992",1582.92,1540
"993",1582.92,1590
"994",1582.92,1690
"995",1582.92,1740
"996",1582.92,1840
"997",1582.92,1890
"998",1582.92,1990
"999",1626.22,15
"1000",1626.22,115
"1001",1626.22,165
"1002",1626.22,265
"1003",1626.22,315
"1004",1626.22,415
"1005",1626.22,465
"1006",1626.22,565
"1007",1626.22,615
"1008",1626.22,715
"1009",1626.22,765
"1010",1626.22,865
"1011",1626.22,915
"1012",1626.22,1015
"1013",1626.22,1065
"1014",1626.22,1165
"1015",1626.22,1215
"1016",1626.22,1315
"1017",1626.22,1365
"1018",1626.22,1465
"1019",1626.22,1515
"1020",1626.22,1615
"1021",1626.22,1665
"1022",1626.22,1765
"1023",1626.22,1815
"1024",1626.22,1915
"1025",1626.22,1965
"1026",1669.52,40
"1027",1669.52,90
"1028",1669.52,190
"1029",1669.52,240
"1030",1669.52,340
"1031",1669.52,390
"1032",1669.52,490
"1033",1669.52,540
"1034",1669.52,640
"1035",1669.52,690
"1036",1669.52,790
"1037",1669.52,840
"1038",1669.52,940
"1039",1669.52,990
"1040",1669.52,1090
"1041",1669.52,1140
"1042",1669.52,1240
"1043",1669.52,1290
"1044",1669.52,1390
"1045",1669.52,1440
"1046",1669.52,1540
"1047",1669.52,1590
"1048",1669.52,1690
"1049",1669.52,1740
"1050",1669.52,1840
"1051",1669.52,1890
"1052",1669.52,1990
"1053",1712.82,15
"1054",1712.82,115
"1055",1712.82,165
"1056",1712.82,265
"1057",1712.82,315
"1058",1712.82,415
"1059",1712.82,465
"1060",1712.82,565
"1061",1712.82,615
"1062",1712.82,715
"1063",1712.82,765
"1064",1712.82,865
"1065",1712.82,915
"1066",1712.82,1015
"1067",1712.82,1065
"1068",1712.82,1165
"1069",1712.82,1215
"1070",1712.82,1315
"1071",1712.82,1365
"1072",1712.82,1465
"1073",1712.82,1515
"1074",1712.82,1615
"1075",1712.82,1665
"1076",1712.82,1765
"1077",1712.82,1815
"1078",1712.82,1915
"1079",1712.82,1965
"1080",1756.12,40
"1081",1756.12,90
"1082",1756.12,190
"1083",1756.12,240
"1084",1756.12,340
"1085",1756.12,390
"1086",1756.12,490
"1087",1756.12,540
"1088",1756.12,640
"1089",1756.12,690
"1090",1756.12,790
"1091",1756.12,840
"1092",1756.12,940
"1093",1756.12,990
"1094",1756.12,1090
"1095",1756.12,1140
"1096",1756.12,1240
"1097",1756.12,1290
"1098",1756.12,1390
"1099",1756.12,1440
"1100",1756.12,1540
"1101",1756.12,1590
"1102",1756.12,1690
"1103",1756.12,1740
"1104",1756.12,1840
"1105",1756.12,1890
"1106",1756.12,1990
"1107",1799.42,15
"1108",1799.42,115
"1109",1799.42,165
"1110",1799.42,265
"1111",1799.42,315
"1112",1799.42,415
"1113",1799.42,465
"1114",1799.42,565
"1115",1799.42,615
"1116",1799.42,715
"1117",1799.42,765
"1118",1799.42,865
"1119",1799.42,915
"1120",1799.42,1015
"1121",1799.42,1065
"1122",1799.42,1165
"1123",1799.42,1215
"1124",1799.42,1315
"1125",1799.42,1365
"1126",1799.42,1465
