x,y,node
-10.39,12.5,"(8, 12)"
-11.26,12.0,"(8, 13)"
-12.12,12.5,"(8, 14)"
-12.99,12.0,"(8, 15)"
-13.86,12.5,"(8, 16)"
-14.72,12.0,"(8, 17)"
-15.59,12.5,"(8, 18)"
-16.45,12.0,"(8, 19)"
-17.32,12.5,"(8, 20)"
-18.19,12.0,"(8, 21)"
-19.05,12.5,"(8, 22)"
-19.92,12.0,"(8, 23)"
-20.78,12.5,"(8, 24)"
-21.65,12.0,"(8, 25)"
-22.52,12.5,"(8, 26)"
-23.38,12.0,"(8, 27)"
-24.25,12.5,"(8, 28)"
-25.11,12.0,"(8, 29)"
-25.98,12.5,"(8, 30)"
-26.85,12.0,"(8, 31)"
-27.71,12.5,"(8, 32)"
-28.58,12.0,"(8, 33)"
-29.44,12.5,"(8, 34)"
-30.31,12.0,"(8, 35)"
-31.18,12.5,"(8, 36)"
-32.04,12.0,"(8, 37)"
-32.91,12.5,"(8, 38)"
-33.77,12.0,"(8, 39)"
-34.64,12.5,"(8, 40)"
-35.51,12.0,"(8, 41)"
-36.37,12.5,"(8, 42)"
-37.24,12.0,"(8, 43)"
-38.11,12.5,"(8, 44)"
-38.97,12.0,"(8, 45)"
0.0,13.5,"(9, 0)"
-0.87,14.0,"(9, 1)"
-1.73,13.5,"(9, 2)"
-2.6,14.0,"(9, 3)"
-3.46,13.5,"(9, 4)"
-4.33,14.0,"(9, 5)"
-5.2,13.5,"(9, 6)"
-6.06,14.0,"(9, 7)"
-6.93,13.5,"(9, 8)"
-7.79,14.0,"(9, 9)"
-8.66,13.5,"(9, 10)"
-9.53,14.0,"(9, 11)"
-10.39,13.5,"(9, 12)"
-11.26,14.0,"(9, 13)"
-12.12,13.5,"(9, 14)"
-12.99,14.0,"(9, 15)"
-13.86,13.5,"(9, 16)"
-14.72,14.0,"(9, 17)"
-15.59,13.5,"(9, 18)"
-16.45,14.0,"(9, 19)"
-17.32,13.5,"(9, 20)"
-18.19,14.0,"(9, 21)"
-19.05,13.5,"(9, 22)"
-19.92,14.0,"(9, 23)"
-20.78,13.5,"(9, 24)"
-21.65,14.0,"(9, 25)"
-22.52,13.5,"(9, 26)"
-23.38,14.0,"(9, 27)"
-24.25,13.5,"(9, 28)"
-25.11,14.0,"(9, 29)"
-25.98,13.5,"(9, 30)"
-26.85,14.0,"(9, 31)"
-27.71,13.5,"(9, 32)"
-28.58,14.0,"(9, 33)"
-29.44,13.5,"(9, 34)"
-30.31,14.0,"(9, 35)"
-31.18,13.5,"(9, 36)"
-32.04,14.0,"(9, 37)"
-32.91,13.5,"(9, 38)"
-33.77,14.0,"(9, 39)"
-34.64,13.5,"(9, 40)"
-35.51,14.0,"(9, 41)"
-36.37,13.5,"(9, 42)"
-37.24,14.0,"(9, 43)"
-38.11,13.5,"(9, 44)"
-38.97,14.0,"(9, 45)"
0.0,15.5,"(10, 0)"
-0.87,15.0,"(10, 1)"
-1.73,15.5,"(10, 2)"
-2.6,15.0,"(10, 3)"
-3.46,15.5,"(10, 4)"
-4.33,15.0,"(10, 5)"
-5.2,15.5,"(10, 6)"
-6.06,15.0,"(10, 7)"
-6.93,15.5,"(10, 8)"
-7.79,15.0,"(10, 9)"
-8.66,15.5,"(10, 10)"
-9.53,15.0,"(10, 11)"
-10.39,15.5,"(10, 12)"
-11.26,15.0,"(10, 13)"
-12.12,15.5,"(10, 14)"
-12.99,15.0,"(10, 15)"
-13.86,15.5,"(10, 16)"
-14.72,15.0,"(10, 17)"
-15.59,15.5,"(10, 18)"
-16.45,15.0,"(10, 19)"
-17.32,15.5,"(10, 20)"
-18.19,15.0,"(10, 21)"
-19.05,15.5,"(10, 22)"
-19.92,15.0,"(10, 23)"
-20.78,15.5,"(10, 24)"
-21.65,15.0,"(10, 25)"
-22.52,15.5,"(10, 26)"
-23.38,15.0,"(10, 27)"
-24.25,15.5,"(10, 28)"
-25.11,15.0,"(10, 29)"
-25.98,15.5,"(10, 30)"
-26.85,15.0,"(10, 31)"
-27.71,15.5,"(10, 32)"
-28.58,15.0,"(10, 33)"
-29.44,15.5,"(10, 34)"
-30.31,15.0,"(10, 35)"
